wp,x,y,yaw_imu
wp144,13588416.66,8085270.15,0.297932726
wp145,13588415.57,8085270.493,0.278016625
wp146,13588414.47,8085270.835,0.24416696
wp147,13588413.37,8085271.175,0.197561813
wp148,13588412.27,8085271.515,0.147553494
wp149,13588411.17,8085271.854,0.104008507
wp150,13588410.07,8085272.192,0.072547918
wp151,13588408.97,8085272.53,0.048076444
wp152,13588407.87,8085272.866,0.024092868
wp153,13588406.77,8085273.201,-0.00274958
wp154,13588405.67,8085273.536,-0.033691252
wp155,13588404.57,8085273.87,-0.069369429
wp156,13588403.47,8085274.203,-0.106429305
wp157,13588402.37,8085274.536,-0.139795194
wp158,13588401.27,8085274.868,-0.164780035
wp159,13588400.17,8085275.199,-0.181823546
wp160,13588399.06,8085275.53,-0.194943679
wp161,13588397.96,8085275.86,-0.208231453
wp162,13588396.86,8085276.189,-0.225230554
wp163,13588395.76,8085276.518,-0.246357168
wp164,13588394.66,8085276.847,-0.270918405
wp165,13588393.55,8085277.175,-0.297776981
wp166,13588392.45,8085277.503,-0.324201259
wp167,13588391.35,8085277.83,-0.347101116
wp168,13588390.25,8085278.157,-0.363955441
wp169,13588389.14,8085278.484,-0.375809571
wp170,13588388.04,8085278.81,-0.384831179
wp171,13588386.94,8085279.136,-0.388805587
wp172,13588385.83,8085279.462,-0.381837774
wp173,13588384.73,8085279.788,-0.357918646
wp174,13588383.63,8085280.114,-0.3117362
wp175,13588382.52,8085280.439,-0.250821203
wp176,13588381.42,8085280.764,-0.19398061
wp177,13588380.32,8085281.09,-0.152143099
wp178,13588379.21,8085281.415,-0.113129845
wp179,13588378.11,8085281.74,-0.060753423
wp180,13588377.01,8085282.066,0.021173581
wp181,13588375.9,8085282.391,0.139123713
wp182,13588374.8,8085282.717,0.262030393
wp183,13588373.7,8085283.042,0.352377646
wp184,13588372.59,8085283.368,0.406521288
wp185,13588371.49,8085283.694,0.444431213
wp186,13588370.39,8085284.02,0.486558157
wp187,13588369.28,8085284.346,0.550642565
wp188,13588368.18,8085284.673,0.63103215
wp189,13588367.08,8085285,0.710112783
wp190,13588365.97,8085285.328,0.774115282
wp191,13588364.87,8085285.655,0.824962523
wp192,13588363.77,8085285.983,0.868471158
wp193,13588362.67,8085286.312,0.908188777
wp194,13588361.57,8085286.641,0.942628772
wp195,13588360.46,8085286.971,0.969627748
wp196,13588359.36,8085287.301,0.987583107
wp197,13588358.26,8085287.631,0.997249717
wp198,13588357.16,8085287.963,1.000001742
wp199,13588356.06,8085288.294,0.997082964
wp200,13588354.96,8085288.627,0.989344443
wp201,13588353.85,8085288.959,0.97756493
wp202,13588352.75,8085289.292,0.962873911
wp203,13588351.65,8085289.626,0.947219314
wp204,13588350.55,8085289.96,0.932643188
wp205,13588349.45,8085290.295,0.920722057
wp206,13588348.35,8085290.63,0.912593005
wp207,13588347.25,8085290.966,0.909318749
wp208,13588346.15,8085291.302,0.909730811
wp209,13588345.05,8085291.639,0.909765979
wp210,13588343.95,8085291.976,0.90658744
wp211,13588342.85,8085292.314,0.900381269
wp212,13588341.75,8085292.652,0.891720667
wp213,13588340.66,8085292.99,0.881177895
wp214,13588339.56,8085293.329,0.86931878
